,Language name,Language family,Stress system type,Duration,Pitch,Intensity,Duration = contrastive,Pitch = contrastive
1,Aleut,Eskimo–Aleut,0,1,0,0,1,0
2,Anejom,Austronesian,1,0,1,1,1,0
3,Apuriña,Arawakan,1,0,1,0,1,0
4,Arabela,Zaparoan,0,1,0,1,1,0
5,Arabic (Ammani-Jordanian),Semitic,0,1,1,1,1,0
6,Arabic (Syrian),Semitic,0,0,1,0,1,0
7,Ashéninka Perené,Arawakan,1,1,1,1,1,0
8,Awara,Trans-New Guinea,1,0,1,1,0,0
9,Awtuw,Sepik-Ramu,2,0,1,1,0,0
10,Baonan/Bonan,Mongolic,0,0,1,1,1,1
11,Bardi,Nyulyulan,2,1,1,1,1,0
12,Bariai,Austronesian,0,0,1,1,0,0
13,Barok (Usen),Austronesian,2,1,,1,1,0
14,Beja,Afro-Asiatic,0,0,1,1,1,0
15,Belep,Austronesian,0,1,0,0,0,0
16
,Bhojpuri,Indo-European,2,0,1,1,1,0
17,Biak,Austronesian,0,1,1,1,1,0
18,Cassubian (North),Indo-European,0,1,,,0,0
19,Cayapa,Barbacoan,0,1,1,1,1,0
20,Cebuano,Austronesian,1,1,0,0,0,0
21,Chickasaw,Muskogean,1,1,1,1,1,1
22,Chuvash,Turkic,0,0,0,1,0,0
23,Cree (Northern East),Algonquin,0,0,1,1,0,0
24,Creek,Muskogean ,0,0,1,0,1,1
25,Czech,Indo-European,1,0,1,0,1,0
26,Danish,Indo-European,0,1,1,0,0,1
27,Diola-Fogny,Niger–Congo,0,1,0,0,1,0
28,Dutch,Indo-European,1,1,0,1,0,0
29,Eastern Khanty,Uralic,2,1,0,0,0,0
30,Emerillon,Tupian,1,1,0,1,0,0
31,Enets,Uralic,1,1,0,0,1,0
32,English,Indo-European,1,1,0,1,0,0
33,Ethiopic,Semitic,0,0,1,0,1,0
34,Eton,Niger–Congo,0,1,0,1,1,1
35,Fijian,Austronesian,1,0,1,0,1,0
36,Finnish,Uralic,1,1,0,0,1,0
37,Gayo,Austronesian,2,1,1,0,0,0
38,German,Indo-European,1,1,0,1,1,0
39,"Greek, Modern",Indo-European,0,1,1,0,0,0
40,Halkomelem/Musqueam (Upriver),Salishan,0,0,1,1,1,1
41,Hebrew,Semitic,1,1,0,0,0,0
42,Huave (San Fransisco del Mar),Isolate,0,1,1,0,0,0
43,Hungarian,Uralic,1,0,1,1,1,0
44,Hup/Hupda,Nadahup,1,1,1,1,0,1
45,Icelandic,Indo-European,1,1,0,0,0,0
46,Inanwatan,Trans-New Guinea,0,1,1,1,1,0
47,Irarutu,Austronesian,0,0,1,1,0,0
48,Irish,Indo-European,0,1,0,1,1,0
49,Italian,Indo-European,1,1,1,0,0,0
50,Jaqaru,Aymaran,1,0,1,0,1,0
51,Jarawara,Arauan,1,0,0,1,1,0
52,Jingulu,Australian,2,1,0,1,1,0
53,Kabardian,Northwest Caucasian,0,1,1,1,0,0
54,Kadiweu (Non-Noble),Guaicuruan,3,0,0,1,1,0
55,Kamass,Uralic,0,0,0,1,0,0
56,Kaqchikel,Mayan,0,1,0,1,0,0
57,Karitiana,Tupian,1,1,1,1,1,0
58,Kashibo-Kakataibo,Panoan,1,1,0,0,0,1
59,Konkow,Maiduan,0,0,1,1,1,0
60,Koromfe,Niger–Congo,0,0,0,1,1,0
61,Kuku Yalanji,Australian,0,0,1,1,0,0
62,Kurtöp,Sino-Tibetan,0,1,1,0,1,1
63,Lenakel,Austronesian,1,0,1,1,1,0
64,Leti,Austronesian,1,1,1,0,1,0
65,Limilngan,Australian,1,1,0,1,0,0
66,Macedonian (Literary),Indo-European,0,1,0,0,0,0
67,Maidu (Mountain),Penutian,1,1,1,1,0,0
68,Maithili,Indo-European,0,1,0,0,0,0
69,Maltese,Semitic,0,0,1,1,1,0
70,Manambu,Sepik-Ramu,0,0,0,1,1,0
71,Mangghuer,Mongolic,0,0,1,1,0,0
72,Maquiritari/Ye'kuana/Dekwana,Cariban,1,0,1,1,1,0
73,Masbatenyo,Austronesian,0,1,1,1,1,0
74,Matses,Panoan,1,1,1,0,0,0
75,Mauwake,Trans–New Guinea,0,1,1,1,1,0
76,Menggwa Dla,Senagi,1,0,0,1,0,0
77,Menominee,Algonquin,1,1,1,0,1,0
78,Mixe (Ayutla),Mixe-Zoque,1,0,1,1,1,0
79,Mocho,Mayan,0,1,1,0,1,1
80,Moghol,Mongolic,0,0,1,0,0,0
81,Mohawk,Iroquoian,0,0,1,1,0,0
82,Mongghul (Karlong),Mongolic,0,0,1,1,1,0
83,Movima,Isolate,0,0,1,0,1,0
84,"Nahuatl, Balsas",Uto-Aztecan,0,1,0,1,0,1
85,Nambikuara,Nambikwaran,0,1,1,1,0,1
86,Nepali,Indo-European,0,1,1,1,0,0
87,Ngigua,Oto-Manguean,0,1,0,0,0,1
88,Nhanda,Australian,1,1,0,0,1,0
89,Nisenan,Maiduan,0,0,1,1,1,0
90,Norwegian,Indo-European,1,1,0,1,0,1
91,Nubi,Arabic Creole,0,1,1,1,0,1
92,Onondaga,Iroquoian,0,0,0,1,1,0
93,Páez,Paezan,0,0,1,0,1,0
94,Paiute (Northern),Uto-Aztecan,1,1,1,0,1,0
95,Palula,Indo-European,0,0,1,1,1,0
96,Pashto,Indo-European,1,0,1,1,0,0
97,Pilagá,Guaicuruan,0,1,1,0,1,0
98,Pintupi,Australian,1,1,1,1,1,0
99,Pirahã,Mura,0,1,0,1,1,1
100,Plang,Austroasiatic,0,1,0,1,0,1
101,Polish,Indo-European,1,1,1,1,0,0
102,Pomo (Eastern),Hokan,1,0,1,1,1,0
103,Pomo (Southern),Hokan,1,0,1,0,1,0
104,Punjabi,Indo-European,0,1,1,0,1,1
105,Q'eqchi' (K'ekchi),Mayan,0,0,1,1,1,0
106,Quechua (South Conchucos),Quechuan,1,1,1,1,1,0
107,Saanich,Salishan,1,1,1,0,0,0
108,Sahaptin (Yakima),Penutian,0,0,1,1,1,0
109,Savosavo,Central Solomons,2,1,0,1,0,0
110,Shuswap,Salishan,0,0,1,1,0,0
111,Sidaama (Sidamo),Afro-Asiatic,0,1,1,0,1,0
112,Spanish (European),Indo-European,0,0,1,0,0,0
113,Tagalog,Austronesian,0,1,1,1,0,0
114,Tarahumara,Uto-Aztecan,0,1,0,0,0,1
115,Tepehua (Huehuetla),Totonacan,1,1,,,1,0
116,Thai,Tai–Kadai,0,1,1,0,1,1
117,Tongan,Austronesian,1,1,1,1,1,0
118,Toratán,Austronesian,0,1,1,0,1,0
119,Totonac (Misantla),Totonacan,0,1,,1,1,0
120,Trio/Tiriyó,Cariban,1,1,0,0,1,1
121,Trumai,Isolate,0,0,1,1,0,0
122,Tsakhur,Northeast Caucasian,0,0,1,0,1,0
123,Tukang Besi,Austronesian,1,1,1,0,1,0
124,Turkish,Turkic,0,0,1,1,0,0
125,Tuvaluan,Austronesian,1,1,1,1,1,0
126,Upper Chehalis,Salishan,0,0,1,1,1,0
127,Uyghur,Turkic,0,0,1,1,0,0
128,Waima,Austronesian,0,1,1,1,0,0
129,Wardaman,Australian,2,0,1,1,1,0
130,Wari',Chapacuran,0,0,1,1,0,0
131,Warlpiri,Australian,1,1,1,1,1,0
132,Welsh,Indo-European,0,1,0,0,1,0
133,Wik-Mungkan,Australian,1,1,1,1,1,0
134,Witsuwit'en,Dené–Yeniseian,1,1,1,1,1,0
135,Wyandot,Iroquoian,0,0,1,0,0,0
136,Yaruro,unclassified,0,1,1,0,0,0
137,Yidin,Australian,1,0,0,1,1,0
138,Yimas,Ramu-Lower Sepik,1,1,1,0,0,0
